AI,solution,test_date,question_number,sources_number
NotebookLM,1,2005-12-18,49,13
DeepSeek,1,2005-12-18,49,100
NotebookLM,1,2005-12-18,50,13
DeepSeek,1,2005-12-18,50,74
NotebookLM,1,2005-12-18,56,13
DeepSeek,1,2005-12-18,56,107
NotebookLM,1,2005-12-18,57,13
DeepSeek,1,2005-12-18,57,61
NotebookLM,1,2005-12-18,58,13
DeepSeek,1,2005-12-18,58,28
NotebookLM,1,2005-12-18,59,13
DeepSeek,1,2005-12-18,59,34
NotebookLM,1,2005-12-18,60,13
DeepSeek,1,2005-12-18,60,100
NotebookLM,1,2005-12-18,61,13
DeepSeek,1,2005-12-18,61,65
NotebookLM,1,2005-12-18,63,13
DeepSeek,1,2005-12-18,63,100
NotebookLM,1,2005-12-18,66,13
DeepSeek,1,2005-12-18,66,79
NotebookLM,1,2008-02-02,50,13
DeepSeek,1,2005-02-02,50,100
NotebookLM,1,2008-02-02,51,13
DeepSeek,1,2005-02-02,51,100



